"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2000W01","Number","Total","Belgium","13",""
"Less than 5 years","2000W02","Number","Total","Belgium","15",""
"Less than 5 years","2000W03","Number","Total","Belgium","21",""
"Less than 5 years","2000W04","Number","Total","Belgium","18",""
"Less than 5 years","2000W05","Number","Total","Belgium","9",""
"Less than 5 years","2000W06","Number","Total","Belgium","23",""
"Less than 5 years","2000W07","Number","Total","Belgium","12",""
"Less than 5 years","2000W08","Number","Total","Belgium","14",""
"Less than 5 years","2000W09","Number","Total","Belgium","14",""
"Less than 5 years","2000W10","Number","Total","Belgium","4",""
"Less than 5 years","2000W11","Number","Total","Belgium","13",""
"Less than 5 years","2000W12","Number","Total","Belgium","14",""
"Less than 5 years","2000W13","Number","Total","Belgium","11",""
"Less than 5 years","2000W14","Number","Total","Belgium","13",""
"Less than 5 years","2000W15","Number","Total","Belgium","16",""
"Less than 5 years","2000W16","Number","Total","Belgium","14",""
"Less than 5 years","2000W17","Number","Total","Belgium","8",""
"Less than 5 years","2000W18","Number","Total","Belgium","14",""
"Less than 5 years","2000W19","Number","Total","Belgium","16",""
"Less than 5 years","2000W20","Number","Total","Belgium","13",""
"Less than 5 years","2000W21","Number","Total","Belgium","8",""
"Less than 5 years","2000W22","Number","Total","Belgium","14",""
"Less than 5 years","2000W23","Number","Total","Belgium","10",""
"Less than 5 years","2000W24","Number","Total","Belgium","14",""
"Less than 5 years","2000W25","Number","Total","Belgium","13",""
"Less than 5 years","2000W26","Number","Total","Belgium","9",""
"Less than 5 years","2000W27","Number","Total","Belgium","10",""
"Less than 5 years","2000W28","Number","Total","Belgium","4",""
"Less than 5 years","2000W29","Number","Total","Belgium","12",""
"Less than 5 years","2000W30","Number","Total","Belgium","11",""
"Less than 5 years","2000W31","Number","Total","Belgium","10",""
"Less than 5 years","2000W32","Number","Total","Belgium","13",""
"Less than 5 years","2000W33","Number","Total","Belgium","19",""
"Less than 5 years","2000W34","Number","Total","Belgium","11",""
"Less than 5 years","2000W35","Number","Total","Belgium","13",""
"Less than 5 years","2000W36","Number","Total","Belgium","12",""
"Less than 5 years","2000W37","Number","Total","Belgium","17",""
"Less than 5 years","2000W38","Number","Total","Belgium","15",""
"Less than 5 years","2000W39","Number","Total","Belgium","13",""
"Less than 5 years","2000W40","Number","Total","Belgium","18",""
"Less than 5 years","2000W41","Number","Total","Belgium","16",""
"Less than 5 years","2000W42","Number","Total","Belgium","12",""
"Less than 5 years","2000W43","Number","Total","Belgium","13",""
"Less than 5 years","2000W44","Number","Total","Belgium","11",""
"Less than 5 years","2000W45","Number","Total","Belgium","21",""
"Less than 5 years","2000W46","Number","Total","Belgium","13",""
"Less than 5 years","2000W47","Number","Total","Belgium","16",""
"Less than 5 years","2000W48","Number","Total","Belgium","13",""
"Less than 5 years","2000W49","Number","Total","Belgium","10",""
"Less than 5 years","2000W50","Number","Total","Belgium","16",""
"Less than 5 years","2000W51","Number","Total","Belgium","9",""
